City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
153,Liverpool,GB,53.4106,-2.9779,51.51,86,100,25.32,light intensity drizzle
154,Iqaluit,CA,63.7506,-68.5145,2.93,71,75,17.27,broken clouds
155,Hasaki,JP,35.7333,140.8333,57.6,76,90,12.46,overcast clouds
156,Vanimo,PG,-2.6741,141.3028,80.46,84,100,2.77,light rain
157,Milton,US,34.1322,-84.3007,56.61,66,79,1.01,broken clouds
158,Chara,RU,56.9064,118.2631,18.64,49,100,2.21,overcast clouds
159,Barrow,US,71.2906,-156.7887,-7.58,71,100,9.22,haze
160,Abu Road,IN,24.4833,72.7833,103.93,9,33,10.56,scattered clouds
161,Ambilobe,MG,-13.2,49.05,87.39,65,88,1.99,overcast clouds
162,Bechem,GH,7.0903,-2.025,77.5,85,100,3.09,overcast clouds
163,Sola,VU,-13.8833,167.55,82.96,70,100,11.9,overcast clouds
164,Khanpur,PK,28.6453,70.6567,106.84,3,3,8.39,clear sky
165,Dingle,PH,10.9995,122.6711,76.68,90,100,6.08,light rain
166,Mount Isa,AU,-20.7333,139.5,91.17,7,5,16.11,clear sky
167,Aksarka,RU,66.5606,67.7975,24.39,91,86,8.39,overcast clouds
168,Makokou,GA,0.5738,12.8642,80.42,71,21,2.91,few clouds
169,Kiama,AU,-34.6833,150.8667,71.38,87,71,1.01,broken clouds
170,Poum,NC,-20.2333,164.0167,81.19,78,100,17.43,moderate rain
171,Bulgan,MN,48.8125,103.5347,41.81,36,98,4.52,overcast clouds
172,Saint-Joseph,RE,-21.3667,55.6167,82.78,82,82,8.21,light rain
173,Barinitas,VE,8.7622,-70.4111,76.48,64,94,4.61,overcast clouds
174,Konya,TR,38.1667,32.5,67.48,26,100,20.56,overcast clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-15.66,98,95,3.31,overcast clouds
176,Wanning,CN,18.8003,110.3967,75.52,79,53,13.33,broken clouds
177,Naze,JP,28.3667,129.4833,63.52,53,11,4.09,few clouds
178,Lavrentiya,RU,65.5833,-171.0,-5.24,90,68,10.42,broken clouds
179,Coahuayana,MX,18.7333,-103.6833,64.22,83,6,3.04,clear sky
180,Gorom-Gorom,BF,14.4439,-0.2361,91.85,7,24,2.93,few clouds
181,Sarkand,KZ,45.41,79.9186,72.99,20,29,4.76,scattered clouds
182,Tezu,IN,27.9167,96.1667,72.07,79,100,3.42,overcast clouds
183,Kruisfontein,ZA,-34.0033,24.7314,69.89,56,11,13.24,few clouds
184,Puerto Ayora,EC,-0.7393,-90.3518,74.55,98,64,4.0,broken clouds
185,Toamasina,MG,-18.1667,49.3833,87.8,66,20,10.36,few clouds
186,Redding,US,40.5865,-122.3917,54.63,50,0,5.99,clear sky
187,Nantucket,US,41.2835,-70.0995,42.91,87,75,8.05,broken clouds
188,Bull Savanna,JM,17.8868,-77.5902,73.08,87,26,7.49,scattered clouds
189,Saint-Augustin,CA,51.226,-58.6502,28.04,86,100,13.38,overcast clouds
190,Batagay,RU,67.6333,134.6333,8.26,83,100,4.41,overcast clouds
191,Magadan,RU,59.5667,150.8,22.53,95,99,5.55,light snow
192,Pasighat,IN,28.0667,95.3333,70.41,89,100,2.86,overcast clouds
193,Moerai,PF,-22.4333,-151.3333,81.43,72,100,6.31,overcast clouds
194,Areosa,PT,41.7178,-8.8571,47.55,55,94,4.63,overcast clouds
195,Hurghada,EG,27.2574,33.8129,86.04,17,0,11.5,clear sky
196,Necochea,AR,-38.5473,-58.7368,52.18,49,4,12.5,clear sky
197,Santona,ES,43.4439,-3.4576,46.22,63,4,2.04,clear sky
198,Iwanai,JP,42.9744,140.5089,49.1,79,84,4.25,broken clouds
199,Nioro,GM,13.35,-15.75,70.72,50,3,9.51,clear sky
200,Khani,GE,41.9563,42.9566,45.97,68,100,5.3,overcast clouds
201,Cidreira,BR,-30.1811,-50.2056,68.22,85,100,7.02,overcast clouds
202,Lasa,IT,46.6166,10.7002,45.48,78,44,4.76,scattered clouds
203,Kijang,KR,35.2442,129.2139,65.93,37,100,12.59,overcast clouds
204,Groa,NO,62.65,8.7167,27.54,94,100,9.55,snow
205,Ati,TD,13.2154,18.3353,97.47,6,8,10.29,clear sky
206,Norman Wells,CA,65.282,-126.8329,-3.96,65,100,4.61,overcast clouds
207,Iberia,US,29.9502,-91.7507,72.09,100,100,14.97,mist
208,Rosarito,MX,32.3333,-117.0333,60.4,83,0,3.33,clear sky
209,Boyolangu,ID,-8.1181,111.8935,83.91,72,52,8.03,broken clouds
210,Luwuk,ID,-0.9516,122.7875,81.05,86,70,3.29,moderate rain
211,Dicabisagan,PH,17.0818,122.4157,76.86,90,100,11.01,overcast clouds
212,Haverfordwest,GB,51.8017,-4.9691,50.05,85,100,5.01,overcast clouds
213,Puerto Escondido,MX,15.85,-97.0667,76.32,72,1,8.25,clear sky
214,Riverton,US,40.5219,-111.9391,55.58,62,100,20.71,light rain
215,Bambous Virieux,MU,-20.3428,57.7575,81.21,100,75,5.75,shower rain
