City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
55,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
59,Binabalian,PH,82.09,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
60,Morondava,MG,83.48,clear sky,-20.2833,44.2833,La Case Bambou
61,Nanakuli,US,75.15,clear sky,21.3906,-158.1547,Camp Pālehua
63,Tamandare,BR,75.45,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
66,Palmito,CO,77.99,overcast clouds,9.3333,-75.55,Cuevas de San Antonio de Palmito
67,Niquelandia,BR,72.34,overcast clouds,-14.4739,-48.4597,Hotel Suinã
71,Mayahi,NE,90.93,overcast clouds,13.9553,7.6712,
74,Soyo,AO,80.01,overcast clouds,-6.1349,12.3689,Hotel Mpampa
75,Lahaina,US,73.81,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
76,Tautira,PF,82.36,light rain,-17.7333,-149.15,Pension Oaoa
80,Arraial Do Cabo,BR,75.42,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
82,Labuhan,ID,84.99,broken clouds,-6.8844,112.2051,DoubleFAG
84,Farah,AF,88.97,clear sky,32.5,62.5,
87,Aswan,EG,94.3,clear sky,24.0934,32.907,Nuba Nile
90,Salalah,OM,86.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
96,Saint-Pierre,RE,83.91,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
98,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
99,Port Alfred,ZA,71.19,clear sky,-33.5906,26.891,The Halyards Hotel
102,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
104,Butaritari,KI,81.63,light rain,3.0707,172.7902,Isles Sunset Lodge
108,Biltine,TD,97.88,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
110,Kununurra,AU,98.58,clear sky,-15.7667,128.7333,Hotel Kununurra
111,New Amsterdam,GY,73.58,overcast clouds,6.25,-57.5167,Little Rock Suites
112,Mpanda,TZ,76.95,overcast clouds,-6.3655,31.0409,CH Hotel - Mpanda
113,Atuona,PF,79.21,few clouds,-9.8,-139.0333,Villa Enata
119,Kimamba,TZ,84.54,broken clouds,-6.7833,37.1333,
121,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
127,Kieta,PG,79.11,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
128,Manaus,BR,77.49,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
135,Bengkulu,ID,85.73,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Hithadhoo,MV,83.14,clear sky,-0.6,73.0833,Scoop Guest House
140,Korla,CN,75.61,few clouds,41.7597,86.1469,Gulisitan Hotel
143,Samarai,PG,81.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
145,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
148,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
156,Vanimo,PG,80.46,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
161,Ambilobe,MG,87.39,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
162,Bechem,GH,77.5,overcast clouds,7.0903,-2.025,Orange Hotel
163,Sola,VU,82.96,overcast clouds,-13.8833,167.55,Leumerus Bungalows
165,Dingle,PH,76.68,light rain,10.9995,122.6711,SEGAYA PROPERTY
166,Mount Isa,AU,91.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
168,Makokou,GA,80.42,few clouds,0.5738,12.8642,Hôtel
