City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Richards Bay,ZA,2022-03-29 18:51:43,-28.783,32.0377,74.26,75,0,16.4
104,Warwick,US,2022-03-29 18:51:44,41.7001,-71.4162,40.44,37,100,3.0
105,Tiksi,RU,2022-03-29 18:51:44,71.6872,128.8694,-0.89,97,100,4.94
106,Komsomolskiy,UZ,2022-03-29 18:51:45,40.4272,71.7189,45.32,57,29,0.0
107,Nola,IT,2022-03-29 18:49:52,40.922,14.5329,58.35,74,63,1.92
108,Belmonte,BR,2022-03-29 18:51:45,-15.8631,-38.8828,82.13,63,35,7.36
109,Smithers,CA,2022-03-29 18:51:46,54.7804,-127.1743,41.32,52,75,5.75
110,Yarim,YE,2022-03-29 18:51:46,14.298,44.3779,53.69,25,1,12.17
111,Nizhniy Ingash,RU,2022-03-29 18:51:47,56.2,96.53,15.49,92,11,3.36
112,Trairi,BR,2022-03-29 18:51:47,-3.2778,-39.2689,76.55,92,100,9.48
113,Kahului,US,2022-03-29 18:51:48,20.8947,-156.47,77.97,73,20,14.0
114,Havre-Saint-Pierre,CA,2022-03-29 18:51:48,50.2334,-63.5986,39.56,87,100,18.41
115,Butaritari,KI,2022-03-29 18:51:48,3.0707,172.7902,80.85,71,99,13.33
116,Kayerkan,RU,2022-03-29 18:51:49,69.3497,87.7602,24.53,73,100,10.07
117,Seoul,KR,2022-03-29 18:51:49,37.5683,126.9778,42.24,87,0,2.3
118,Along,IN,2022-03-29 18:51:50,28.1667,94.7667,67.41,68,82,1.86
119,Salalah,OM,2022-03-29 18:48:29,17.0151,54.0924,78.89,78,0,3.44
120,Boiro,ES,2022-03-29 18:51:51,42.65,-8.9,56.79,66,100,9.31
121,Faanui,PF,2022-03-29 18:51:51,-16.4833,-151.75,82.58,72,16,17.54
122,Georgetown,MY,2022-03-29 18:51:27,5.4112,100.3354,80.53,93,20,3.44
123,Dhadar,IN,2022-03-29 18:51:52,28.3305,75.0632,83.55,11,0,1.97
124,Novobirilyussy,RU,2022-03-29 18:51:52,56.9514,90.6661,21.6,97,100,3.85
125,Mahebourg,MU,2022-03-29 18:51:53,-20.4081,57.7,80.89,69,40,5.75
126,Mnogovershinnyy,RU,2022-03-29 18:51:53,53.9353,139.9242,20.91,96,100,7.0
127,Aklavik,CA,2022-03-29 18:51:54,68.2191,-135.0107,-7.6,96,100,7.47
128,Mehamn,NO,2022-03-29 18:51:54,71.0357,27.8492,28.31,76,100,27.18
129,Deoria,IN,2022-03-29 18:51:39,26.5047,83.7872,78.19,28,3,6.35
130,Shitanjing,CN,2022-03-29 18:51:55,39.2342,106.3439,40.96,28,0,5.08
131,Araouane,ML,2022-03-29 18:51:56,18.9048,-3.5265,91.13,7,49,9.57
132,Petit Goave,HT,2022-03-29 18:51:56,18.4314,-72.8669,79.68,67,61,5.84
133,Korla,CN,2022-03-29 18:51:56,41.7597,86.1469,53.83,28,100,7.07
134,Avera,US,2022-03-29 18:51:57,33.194,-82.5271,69.31,39,70,7.2
135,Broken Hill,AU,2022-03-29 18:51:57,-31.95,141.4333,60.51,59,54,13.8
136,Avarua,CK,2022-03-29 18:51:58,-21.2078,-159.775,82.45,83,20,9.22
137,Arraial Do Cabo,BR,2022-03-29 18:51:58,-22.9661,-42.0278,82.36,74,75,5.75
138,Hemsedal,NO,2022-03-29 18:51:59,60.8629,8.5534,10.9,89,38,6.22
139,Waddan,LY,2022-03-29 18:52:59,29.1614,16.139,71.49,25,10,7.96
140,Witu,KE,2022-03-29 18:53:00,-2.3889,40.4382,82.56,76,93,8.48
141,Alofi,NU,2022-03-29 18:53:00,-19.0595,-169.9187,76.89,94,100,10.36
142,Norman Wells,CA,2022-03-29 18:53:01,65.282,-126.8329,6.84,72,100,4.61
143,Saskylakh,RU,2022-03-29 18:53:01,71.9167,114.0833,-28.19,100,100,3.83
144,Ishigaki,JP,2022-03-29 18:53:02,24.3448,124.1572,73.53,100,100,11.5
145,Cherskiy,RU,2022-03-29 18:53:02,68.75,161.3,-10.01,84,99,3.04
146,Half Moon Bay,US,2022-03-29 18:53:03,37.4636,-122.4286,66.6,81,100,14.97
147,Nueva Loja,EC,2022-03-29 18:53:03,0.0847,-76.8828,82.42,74,75,3.44
148,Hofn,IS,2022-03-29 18:53:04,64.2539,-15.2082,32.38,60,27,9.28
149,Jalu,LY,2022-03-29 18:53:04,29.0331,21.5482,70.79,29,11,9.95
150,Srednekolymsk,RU,2022-03-29 18:53:05,67.45,153.6833,-2.72,88,100,7.78
151,Vanavara,RU,2022-03-29 18:53:05,60.34,102.2797,3.43,98,88,3.98
152,Awjilah,LY,2022-03-29 18:53:06,29.1081,21.2869,69.48,38,13,12.08
153,Sikonge,TZ,2022-03-29 18:53:06,-5.6333,32.7667,67.55,86,78,4.65
154,Bardiyah,LY,2022-03-29 18:53:07,31.7561,25.0865,61.93,66,4,6.53
155,Qaqortoq,GL,2022-03-29 18:53:07,60.7167,-46.0333,33.66,69,87,4.07
156,Laguna,US,2022-03-29 18:53:08,38.421,-121.4238,65.14,70,20,3.44
157,Buraydah,SA,2022-03-29 18:53:09,26.326,43.975,66.65,9,7,8.25
158,Humberto De Campos,BR,2022-03-29 18:53:09,-2.5983,-43.4611,80.06,88,98,4.85
159,Dikson,RU,2022-03-29 18:53:10,73.5069,80.5464,9.63,94,100,12.21
160,Soeng Sang,TH,2022-03-29 18:53:10,14.4264,102.4606,75.92,83,27,3.24
